# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG
# 
  260,20000101,   61
  260,20000102,   73
  260,20000103,   84
  260,20000104,   64
  260,20000105,   44
  260,20000106,   72
  260,20000107,   61
  260,20000108,   54
  260,20000109,    8
  260,20000110,   -8
  260,20000111,   21
  260,20000112,    7
  260,20000113,   20
  260,20000114,   29
  260,20000115,   32
  260,20000116,   54
  260,20000117,   64
  260,20000118,   66
  260,20000119,   39
  260,20000120,   52
  260,20000121,   52
  260,20000122,   47
  260,20000123,   11
  260,20000124,  -28
  260,20000125,    5
  260,20000126,   24
  260,20000127,   24
  260,20000128,   32
  260,20000129,   90
  260,20000130,   91
  260,20000131,   97
  260,20000201,   90
  260,20000202,   74
  260,20000203,   64
  260,20000204,   76
  260,20000205,   84
  260,20000206,   76
  260,20000207,   79
  260,20000208,   86
  260,20000209,   65
  260,20000210,   58
  260,20000211,   46
  260,20000212,   45
  260,20000213,   52
  260,20000214,   45
  260,20000215,   66
  260,20000216,   37
  260,20000217,   36
  260,20000218,   49
  260,20000219,   48
  260,20000220,   22
  260,20000221,   22
  260,20000222,   28
  260,20000223,   51
  260,20000224,   78
  260,20000225,   54
  260,20000226,   34
  260,20000227,   76
  260,20000228,   92
  260,20000229,   65
  260,20000301,   53
  260,20000302,   49
  260,20000303,   69
  260,20000304,   19
  260,20000305,   32
  260,20000306,   63
  260,20000307,   96
  260,20000308,  111
  260,20000309,  107
  260,20000310,   65
  260,20000311,   87
  260,20000312,   77
  260,20000313,   77
  260,20000314,   78
  260,20000315,   60
  260,20000316,   80
  260,20000317,   82
  260,20000318,   70
  260,20000319,   58
  260,20000320,   51
  260,20000321,   60
  260,20000322,   72
  260,20000323,   72
  260,20000324,   88
  260,20000325,   86
  260,20000326,   63
  260,20000327,   56
  260,20000328,   41
  260,20000329,   59
  260,20000330,   65
  260,20000331,   61
  260,20000401,   62
  260,20000402,  100
  260,20000403,  119
  260,20000404,  101
  260,20000405,   48
  260,20000406,   48
  260,20000407,   55
  260,20000408,   66
  260,20000409,   93
  260,20000410,   59
  260,20000411,   61
  260,20000412,   62
  260,20000413,   59
  260,20000414,   69
  260,20000415,   89
  260,20000416,   93
  260,20000417,  107
  260,20000418,  106
  260,20000419,  119
  260,20000420,  134
  260,20000421,  137
  260,20000422,  133
  260,20000423,  111
  260,20000424,  113
  260,20000425,  149
  260,20000426,  149
  260,20000427,  152
  260,20000428,  158
  260,20000429,  119
  260,20000430,  125
  260,20000501,  128
  260,20000502,  104
  260,20000503,  120
  260,20000504,  134
  260,20000505,  181
  260,20000506,  201
  260,20000507,  192
  260,20000508,  193
  260,20000509,  196
  260,20000510,  198
  260,20000511,  184
  260,20000512,  189
  260,20000513,  181
  260,20000514,  192
  260,20000515,  208
  260,20000516,  202
  260,20000517,  137
  260,20000518,  114
  260,20000519,  103
  260,20000520,  108
  260,20000521,  100
  260,20000522,  114
  260,20000523,  138
  260,20000524,  140
  260,20000525,  132
  260,20000526,  136
  260,20000527,  124
  260,20000528,   94
  260,20000529,  101
  260,20000530,   98
  260,20000531,  125
  260,20000601,  151
  260,20000602,  164
  260,20000603,  181
  260,20000604,  167
  260,20000605,  123
  260,20000606,  128
  260,20000607,  123
  260,20000608,  155
  260,20000609,  212
  260,20000610,  166
  260,20000611,  148
  260,20000612,  162
  260,20000613,  169
  260,20000614,  172
  260,20000615,  151
  260,20000616,  132
  260,20000617,  149
  260,20000618,  211
  260,20000619,  257
  260,20000620,  259
  260,20000621,  205
  260,20000622,  163
  260,20000623,  151
  260,20000624,  135
  260,20000625,  127
  260,20000626,  124
  260,20000627,  123
  260,20000628,  124
  260,20000629,  132
  260,20000630,  137
  260,20000701,  136
  260,20000702,  190
  260,20000703,  194
  260,20000704,  176
  260,20000705,  158
  260,20000706,  165
  260,20000707,  140
  260,20000708,  127
  260,20000709,  138
  260,20000710,  152
  260,20000711,  133
  260,20000712,  139
  260,20000713,  145
  260,20000714,  132
  260,20000715,  128
  260,20000716,  142
  260,20000717,  136
  260,20000718,  140
  260,20000719,  161
  260,20000720,  163
  260,20000721,  146
  260,20000722,  151
  260,20000723,  165
  260,20000724,  184
  260,20000725,  170
  260,20000726,  155
  260,20000727,  165
  260,20000728,  170
  260,20000729,  159
  260,20000730,  168
  260,20000731,  183
  260,20000801,  210
  260,20000802,  182
  260,20000803,  173
  260,20000804,  165
  260,20000805,  166
  260,20000806,  175
  260,20000807,  186
  260,20000808,  173
  260,20000809,  184
  260,20000810,  187
  260,20000811,  189
  260,20000812,  176
  260,20000813,  217
  260,20000814,  217
  260,20000815,  182
  260,20000816,  183
  260,20000817,  179
  260,20000818,  176
  260,20000819,  186
  260,20000820,  175
  260,20000821,  156
  260,20000822,  153
  260,20000823,  155
  260,20000824,  156
  260,20000825,  163
  260,20000826,  195
  260,20000827,  167
  260,20000828,  144
  260,20000829,  146
  260,20000830,  139
  260,20000831,  144
  260,20000901,  157
  260,20000902,  145
  260,20000903,  149
  260,20000904,  138
  260,20000905,  154
  260,20000906,  151
  260,20000907,  159
  260,20000908,  174
  260,20000909,  173
  260,20000910,  170
  260,20000911,  184
  260,20000912,  176
  260,20000913,  160
  260,20000914,  152
  260,20000915,  166
  260,20000916,  155
  260,20000917,  130
  260,20000918,  159
  260,20000919,  174
  260,20000920,  148
  260,20000921,  137
  260,20000922,  154
  260,20000923,  165
  260,20000924,  147
