"Pos.","Country (or dependent territory)","Area (km2)","Area (mi2)","Population","Density (pop./km2)","Density (pop./mi2)","Date","Population source"
"","World (land only, excluding Antarctica)","134,940,000","52,100,000","7,469,905,500","55","142","December 12, 2016","USCB's world population clock"
"","World (land only)","148,940,000","57,510,000","7,469,905,500","50","129","December 12, 2016","USCB's World population clock"
"","World (with water)","510,072,000","196,940,000","7,469,905,500","15","39","December 12, 2016","USCB's World population clock"
"1","Macau (China)","30.5","12","647,700","21,236","55,001","September 30, 2016","Official quarterly estimate"
"2","Monaco","2.02","0.78","38,400","19,010","49,236","December 31, 2015","Official estimate"
"3","Singapore","719.2","278","5,607,300","7,797","20,194","July 1, 2016","Official estimate"
"4","Hong Kong (China)","1,105.7","427","7,346,700","6,644","17,208","July 1, 2016","Official estimate"
"5","Gibraltar (UK)","6.8","2.6","29,873","4,268","11,054","March 21, 2016","Official estimate"
"6","Bahrain","757","292","1,472,483","1,945","5,038","March 21, 2016","Final 2010 census result"
"7","Vatican City","0.44","0.17","800","1,818","4,709","2012","Official estimate"
"8","Malta","315","122","426,149","1,353","3,504","March 21, 2016","Preliminary 2011 census result"
"9","Bermuda (UK)","52","20","66,449","1,278","3,310","March 21, 2016","Final 2010 census result"
"10","Bangladesh","143,998","55,598","161,581,338","1,122.11","2,906.25","December 12, 2016","Official population clock"
"11","Sint Maarten (Kingdom of the Netherlands)","34","13","37,429","1,101","2,852","January 1, 2010","Official estimate"
"12","Maldives","298","115","317,280","1,065","2,758","2010","Official estimate"
"13","Jersey (UK)","116","45","97,857","844","2,186","March 27, 2011","2011 census result"
"14","Guernsey (UK)","78","30","62,431","800","2,072","March 31, 2010","Official estimate"
"15","Palestinian Territories","6,020","2,324","4,550,368","756","1,958","2014","Official estimate"
"16","Saint Martin (France)","54","21","36,979","685","1,774","January 1, 2010","Official estimate"
"17","Taiwan (ROC)","36,197","13,976","23,526,295","650","1,683","October 31, 2016","Monthly official estimate"
"18","Barbados","430","166","274,200","638","1,652","July 1, 2010","Official estimate"
"19","Mauritius","2,040","788","1,262,879","619","1,603","July 1, 2015","Official estimate"
"20","Lebanon","10,452","4,036","5,988,153","587","1,520","July 1, 2014","UN projection"
"21","Mayotte (France)","374","144","212,600","568","1,471","August 21, 2012","2012 census result"
"22","San Marino","61","24","33,028","541","1,401","May 31, 2016","Monthly official estimate"
"23","Aruba (Kingdom of the Netherlands)","193","75","101,484","526","1,362","September 29, 2010","2010 census result"
"24","South Korea","100,210","38,691","50,801,405","507","1,313","July 1, 2016","Annual official estimate"
"25","Nauru","21","8","10,084","480","1,243","October 30, 2011","2011 census result"
"26","Rwanda","25,314","9,774","11,882,766","469","1,215","July 1, 2015","Annual official estimate"
"27","Tuvalu","26","10","11,323","436","1,129","July 1, 2013","Official estimate"
"28","Saint Barthélemy (France)","21","8","8,938","426","1,103","January 1, 2010","Official estimate"
"29","Comoros","1,861","719","784,745","422","1,093","July 1, 2015","Official estimate"
"30","Burundi","27,816","10,740","11,552,561","415","1,075","July 1, 2016","Official annual projection"
"31","Netherlands","41,526","16,033","17,069,944","411.07","1,064.66","December 12, 2016","Official population clock"
"32","Haiti","27,065","10,450","11,078,033","409","1,059","July 1, 2016","Official projection"
"33","India","3,287,240","1,269,211","1,309,112,657","398.24","1,031.44","December 12, 2016","Population clock based on 2011 census"
"34","Puerto Rico (US)","8,868","3,424","3,474,182","392","1,015","July 1, 2015","Official estimate"
"35","Israel","22,072","8,522","8,622,326","390.65","1,011.77","December 12, 2016","Official population clock"
"36","Belgium","30,528","11,787","11,342,835","372","963","October 1, 2016","Monthly official estimate"
"37","Philippines","300,000","115,831","103,451,205","344.84","893.12","December 12, 2016","Official population clock"
"38","Martinique (France)","1,128","436","385,551","342","886","July 1, 2013","Official estimate"
"39","Curaçao (Kingdom of the Netherlands)","444","171","150,563","339","878","March 26, 2011","2011 census result"
"40","Japan","377,944","145,925","126,950,000","336","870","November 1, 2016","Monthly official estimate"
"41","Réunion (France)","2,512","970","821,136","327","847","January 1, 2010","Official estimate"
"42","Sri Lanka","65,610","25,332","21,203,000","323","837","July 1, 2016","Official estimate"
"43","Marshall Islands","181","70","56,086","310","803","July 1, 2013","Official estimate"
"44","United States Virgin Islands (US)","352","136","106,405","302","782","April 1, 2010","Final 2010 census result"
"45","El Salvador","21,040","8,124","6,340,000","301","780","July 1, 2013","UN estimate"
"46","Grenada","344","133","103,328","300","777","May 12, 2011","2011 census result"
"47","Guam (US)","541","209","159,358","295","764","April 1, 2010","Final 2010 census result"
"48","American Samoa (US)","197","76","55,519","282","730","April 1, 2010","Final 2010 census result"
"49","Vietnam","331,212","127,882","92,700,000","280","725","July 1, 2016","Official estimate"
"50","Saint Lucia","617","238","166,526","270","699","May 10, 2010","Preliminary 2010 census result"
"51","United Kingdom","242,910","93,788","65,110,000","268","694","July 1, 2015","Annual official estimate"
"52","Saint Vincent and the Grenadines","389","150","100,892","259","671","July 1, 2009","Official estimate"
"53","Trinidad and Tobago","5,155","1,990","1,328,019","258","668","January 9, 2011","2011 census result"
"54","Jamaica","10,991","4,244","2,723,246","248","642","December 31, 2014","Official estimate"
"55","Guadeloupe (France)","1,630","629","402,119","247","640","July 1, 2013","Official estimate"
"56","Pakistan","803,940","310,403","195,064,368","242.64","628.42","December 12, 2016","Official population clock"
"57","Liechtenstein","160","62","36,842","230","596","December 31, 2012","Official estimate"
"58","Germany","357,168","137,903","82,175,700","230","596","December 31, 2015","Quarterly official estimate"
"59","Kuwait","17,818","6,880","4,007,000","225","583","July 1, 2016","Official estimate"
"60","Dominican Republic","47,875","18,485","10,528,000","220","570","July 1, 2015","UN Projection"
"61","Cayman Islands (UK)","259","100","55,456","214","554","October 10, 2010","Final 2010 census result"
"62","Luxembourg","2,586","998","537,000","208","539","December 31, 2012","Official estimate"
"63","Switzerland","41,285","15,940","8,364,100","203","526","June 30, 2016","Quarterly provisional figure"
"64","Nigeria","923,768","356,669","186,988,000","202","523","July 1, 2016","UN projection"
"65","Italy","301,308","116,336","60,592,547","201","521","June 30, 2016","Monthly official estimate"
"66","Seychelles","455","176","90,945","200","518","August 26, 2010","Final 2010 census result"
"67","North Korea","122,762","47,399","24,213,510","197","510","October 1, 2014","Preliminary 2014 census result"
"68","British Virgin Islands (UK)","151","58","29,537","196","508","2010","Official estimate"
"69","Antigua and Barbuda","442","171","86,295","195","505","May 27, 2011","Preliminary 2011 census result"
"70","Saint Kitts and Nevis","270","104","51,970","192","497","July 1, 2009","Official estimate"
"71","São Tomé and Príncipe","1,001","386","187,356","187","484","May 13, 2012","2012 census result"
"72","Nepal","147,181","56,827","26,494,504","180","466","June 22, 2011","Final 2011 census result"
"73","Qatar","11,571","4,468","2,024,707","175","453","October 31, 2013","Monthly official estimate"
"74","Gambia","10,690","4,127","1,849,000","173","448","July 1, 2013","UN estimate"
"75","Kosovo","10,910","4,212","1,815,606","166","430","December 31, 2012","Official estimate"
"76","Andorra","464","179","76,246","164","425","2012","Official estimate"
"77","Uganda","241,551","93,263","36,860,700","153","396","July 1, 2016","Annual official estimate"
"78","Isle of Man","572","221","84,497","148","383","March 27, 2011","2011 census result"
"79","Kiribati","726","280","106,461","147","381","July 1, 2013","Official estimate"
"80","Cyprus","5,896","2,276","862,000","146","378","December 31, 2011","Official estimate"
"81","Tonga","720","278","104,270","145","376","July 1, 2013","Official estimate"
"82","Federated States of Micronesia","701","271","101,351","145","376","July 1, 2013","Official estimate"
"83","Guatemala","108,889","42,042","15,806,675","145","376","June 30, 2014","Annual Official estimate"
"84","China","9,640,821","3,722,342","1,380,369,865","143.18","370.83","December 12, 2016","Official population clock"
"85","Tokelau (NZ)","10","4","1,411","141","365","October 18, 2011","Final 2011 census result"
"86","Anguilla (UK)","96","37","13,452","140","363","May 11, 2011","Preliminary 2011 census result"
"87","Indonesia","1,904,569","735,358","260,581,000","137","355","July 1, 2016","Official projection"
"88","Czech Republic","78,867","30,451","10,564,866","134","347","June 30, 2016","Quarterly official estimate"
"89","Denmark","43,098","16,640","5,639,719","131","339","October 1, 2014","Quarterly official estimate"
"90","Thailand","513,120","198,117","65,729,098","128","332","December 31, 2015","Official estimate"
"91","Togo","56,600","21,853","7,143,000","126","326","July 1, 2016","Official estimate"
"92","Poland","312,685","120,728","38,496,000","123","319","December 31, 2013","Official estimate"
"93","Cape Verde","4,033","1,557","491,875","122","316","June 16, 2010","Final 2010 census result"
"94","Malawi","118,484","45,747","14,388,600","121","313","July 1, 2011","Official estimate"
"95","Ghana","238,533","92,098","28,308,301","119","308","October 26, 2016","Official projection"
"96","Northern Mariana Islands (US)","457","176","53,883","118","306","April 1, 2010","Final 2010 census result"
"97","France","543,965","210,026","66,821,000","118","306","October 1, 2016","Monthly official estimate"
"98","United Arab Emirates","83,600","32,278","9,856,000","118","306","July 1, 2016","Official estimate"
"99","Azerbaijan","86,600","33,436","9,755,500","113","293","July 1, 2016","Official estimate"
"100","Portugal","92,090","35,556","10,341,330","112","290","December 31, 2015","Official estimate"
"101","Slovakia","49,036","18,933","5,426,252","111","287","December 31, 2015","Official estimate"
"102","Jordan","89,342","34,495","9,779,415","109.46","283.5","December 12, 2016","Official population clock"
"103","Hungary","93,029","35,919","9,830,485","106","275","January 1, 2016","Annual official estimate"
"104","Moldova","33,843","13,067","3,553,100","105","272","January 1, 2016","Official estimate"
"105","Austria","83,879","32,386","8,767,919","105","272","October 1, 2016","Official quarterly estimate"
"106","Cuba","109,886","42,427","11,239,004","102","264","December 31, 2015","Annual official estimate"
"107","Slovenia","20,273","7,827","2,064,241","102","264","July 1, 2016","Official quarterly estimate"
