Title,Rating,Genre,Actors,Runtime
The Filthy Frank Show,10.0,"Short, Comedy, Fantasy","['George Miller', 'Zeeq', 'Artemis Holdenberry', 'Bloody Hairy']",12 min
Game of Thrones,9.5,"Adventure, Drama, Fantasy","['Emilia Clarke', 'Peter Dinklage', 'Kit Harington', 'Lena Headey']",56 min
Breaking Bad,9.5,"Crime, Drama, Thriller","['Bryan Cranston', 'Aaron Paul', 'Anna Gunn', 'Betsy Brandt']",49 min
The Wire,9.4,"Crime, Drama, Thriller","['Dominic West', 'Lance Reddick', 'Sonja Sohn', 'Wendell Pierce']",59 min
TVF Pitchers,9.4,"Comedy, Drama","['Naveen Kasturia', 'Arunabh Kumar', 'Jitendra Kumar', 'Aditya Roy Kapoor']",40 min
Rick and Morty,9.3,"Animation, Adventure, Comedy","['Justin Roiland', 'Chris Parnell', 'Spencer Grammer', 'Sarah Chalke']",22 min
Westworld,9.2,"Drama, Sci-Fi, Western","['Evan Rachel Wood', 'Thandie Newton', 'Jeffrey Wright', 'James Marsden']",60 min
Sherlock,9.2,"Crime, Drama, Mystery","['Benedict Cumberbatch', 'Martin Freeman', 'Una Stubbs', 'Rupert Graves']",88 min
The Sopranos,9.2,"Crime, Drama","['James Gandolfini', 'Lorraine Bracco', 'Edie Falco', 'Michael Imperioli']",55 min
Avatar: The Last Airbender,9.2,"Animation, Action, Adventure","['Dee Bradley Baker', 'Zach Tyler', 'Mae Whitman', 'Jack De Sena']",23 min
Leyla ile Mecnun,9.2,"Adventure, Comedy, Drama","['Ali Atay', 'Cengiz Bozkurt', 'Serkan Keskin', 'Osman Sonant']",80 min
Sarabhai vs Sarabhai,9.2,Comedy,"['Satish Shah', 'Ratna Pathak', 'Sumeet Raghvan', 'Rupali Ganguly']",30 min
True Detective,9.1,"Crime, Drama, Mystery","['Vince Vaughn', 'Colin Farrell', 'Rachel McAdams', 'Taylor Kitsch']",55 min
Firefly,9.1,"Adventure, Drama, Sci-Fi","['Nathan Fillion', 'Gina Torres', 'Alan Tudyk', 'Morena Baccarin']",44 min
One Punch Man: Wanpanman,9.1,"Animation, Action, Comedy","['Max Mittelman', 'Makoto Furukawa', 'Kaito Ishikawa', 'Zach Aguilar']",24 min
Last Week Tonight with John Oliver,9.1,"Comedy, News, Talk-Show","['John Oliver', 'David Kaye', 'Noel MacNeal', 'Paul McGinnis']",30 min
Hagane no renkinjutsushi,9.1,"Animation, Action, Adventure","['Kent Williams', 'Iemasa Kayumi', 'Vic Mignogna', 'Romi Pak']",24 min
TVF Tripling,9.1,Drama,"['Sumeet Vyas', 'Maanvi Gagroo', 'Amol Parashar', 'Kunaal Roy Kapur']",30 min
Stranger Things,9.0,"Drama, Horror, Mystery","['Dacre Montgomery', 'Winona Ryder', 'David Harbour', 'Finn Wolfhard']",55 min
Friends,9.0,"Comedy, Romance","['Jennifer Aniston', 'Courteney Cox', 'Lisa Kudrow', 'Matt LeBlanc']",22 min
House of Cards,9.0,Drama,"['Kevin Spacey', 'Michel Gill', 'Robin Wright', 'Kate Mara']",51 min
Fargo,9.0,"Crime, Drama, Thriller","['Billy Bob Thornton', 'Martin Freeman', 'Allison Tolman', 'Colin Hanks']",53 min
Arrested Development,9.0,Comedy,"['Jason Bateman', 'Michael Cera', 'Portia de Rossi', 'Will Arnett']",22 min
The Twilight Zone,9.0,"Fantasy, Horror, Mystery","['Rod Serling', 'Robert McCord', 'Jay Overholts', 'Vaughn Taylor']",51 min
Death Note: Desu nto,9.0,"Animation, Crime, Drama","['Mamoru Miyano', 'Brad Swaile', 'Vincent Tong', 'Ry Nait']",24 min
Batman: The Animated Series,9.0,"Animation, Action, Adventure","['Kevin Conroy', 'Loren Lester', 'Efrem Zimbalist Jr.', 'Bob Hastings']",23 min
